What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Bus,40,3-4 days,Always,Rarely,Sometimes,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Often,Sometimes,Often,Student,Female,29,Own,Google Maps,Yes,2,0,1,No,,Other non-US citizen status,
Bus,15,3-4 days,Always,Sometimes,Always,Rarely,Never,1,Safety,1,0,Never,Never,Never,Never,Never,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Always,Rarely,Sometimes,Student,Female,30,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Drive,20,3-4 days,Sometimes,Rarely,Rarely,Often,Sometimes,1,Convenience,2,15,Always,Never,Never,Never,Always,3,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Neither agree nor disagree,Strongly agree,Somewhat agree,0,1,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Often,Sometimes,Always,Student,Male,27,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Bus,20,1-2 days,Sometimes,Rarely,Always,Sometimes,Rarely,1,Do not want to drive when intoxicated,0,0,Sometimes,Never,Rarely,Rarely,Sometimes,6,Always,Rarely,Often,Often,Sometimes,Often,Rarely,Somewhat agree,Neither agree nor disagree,Strongly agree,0,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sometimes,Often,Rarely,Student,Male,30,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,5,Every weekday (M-F),Sometimes,Rarely,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Never,Never,Sometimes,Student,Female,26,Rent,Google Maps,No,,,,No,,International student,
Bike,7,3-4 days,Sometimes,Sometimes,Often,Rarely,Rarely,1,Weather-related,1,10,Often,Never,Rarely,Never,Rarely,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Often,Often,Rarely,Student,Male,31,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Sometimes,Sometimes,Rarely,Rarely,2,Convenience,2,15,Always,Never,Never,Never,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Always,Always,Always,Student,Male,26,Rent,Apple Maps,No,,,,Yes,20,Other non-US citizen status,
Drive,35,3-4 days,Never,Never,Rarely,Never,Never,0,,,,,,,,,7,Sometimes,Never,Often,Often,Rarely,Rarely,Often,Neither agree nor disagree,Strongly agree,Strongly agree,1,0,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Always,Always,Sometimes,Student,Male,31,Own,Google Maps,Yes,2,0,2,Yes,17,US Citizen,Yes
Bus,30,3-4 days,Always,Often,Often,Rarely,Never,1,Convenience,1,16,Sometimes,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Rarely,Sometimes,Student,Female,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,25,3-4 days,Often,Rarely,Sometimes,Often,Never,1,Convenience,1,35,Rarely,Rarely,Rarely,Rarely,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Male,24,Rent,Apple Maps,No,,,,Yes,17,US Citizen,Yes
Walk,15,3-4 days,Often,Sometimes,Sometimes,Sometimes,Never,2,Convenience,3,25,Often,Never,Often,Sometimes,Often,5,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Rarely,Never,Always,Student,Female,26,Rent,Google Maps,Prefer not to say,,,,Yes,22,Other non-US citizen status,
Drive,15,3-4 days,Often,Rarely,Often,Never,Never,0,,,,,,,,,3,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Somewhat agree,Neither agree nor disagree,Somewhat agree,0,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,28,Rent,Google Maps,No,,,,Yes,16,US Citizen,No
Walk,14,3-4 days,Sometimes,Rarely,Sometimes,Never,Never,1,Convenience,0,0,Rarely,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Often,Student,Female,22,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Bus,25,Every weekday (M-F),Often,Sometimes,Always,Sometimes,,1,Convenience,0,0,Never,Never,Never,Never,Never,3,Rarely,Rarely,Sometimes,Rarely,Never,Never,Rarely,Somewhat disagree,Strongly agree,Strongly agree,0,0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Always,Always,Often,Student,Male,28,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Rarely,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Never,Often,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,3-4 days,Often,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Student,Male,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bike,20,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Rarely,Always,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,0,"Every day, including weekends",Often,Sometimes,Often,Rarely,Rarely,1,Convenience,0,0,Never,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,Student,Female,18,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,3-4 days,Sometimes,Sometimes,Always,Rarely,Rarely,0,,,,,,,,,4,Rarely,Rarely,Often,Sometimes,Rarely,Often,Always,Somewhat agree,Somewhat agree,Somewhat agree,2,0,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Rarely,Rarely,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,40,Every weekday (M-F),Often,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,2,Often,Sometimes,Often,Often,Rarely,Sometimes,Often,Strongly agree,Strongly agree,Somewhat disagree,0,1,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Often,Rarely,Always,Student,Male,23,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Drive,40,Every weekday (M-F),Never,Rarely,Sometimes,Always,Never,0,,,,,,,,,7,Rarely,Never,Often,Rarely,Never,Sometimes,Sometimes,Somewhat agree,Strongly agree,Somewhat agree,0,0,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Often,Often,Always,Faculty/Staff,Female,45,Own,Apple Maps,Yes,3,0,3,Yes,27,US Citizen,Yes
Bus,30,1-2 days,Sometimes,Sometimes,Sometimes,Sometimes,Never,2,Convenience,2,20,Often,Rarely,Often,Never,Always,1,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Strongly disagree,Somewhat agree,Strongly agree,0,0,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Female,24,Own,Google Maps,Yes,2,0,1,Yes,23,Other non-US citizen status,
Bus,25,"Every day, including weekends",Sometimes,Rarely,Often,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Often,Often,Always,Student,Male,25,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Always,Rarely,Sometimes,Rarely,Never,1,Convenience,1,10,Always,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Always,Always,Always,Student,Male,26,Rent,Google Maps,No,,,,Yes,24,Other non-US citizen status,
Drive,20,3-4 days,Rarely,Sometimes,Always,Always,Rarely,0,,,,,,,,,7,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Often,Rarely,Often,Student,Female,27,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Drive,35,Every weekday (M-F),Sometimes,Rarely,Sometimes,Rarely,Rarely,0,,,,,,,,,5,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Rarely,Rarely,Always,Faculty/Staff,Female,58,Own,Do not use navigation apps,Yes,3,0,2,Yes,14,US Citizen,Yes
Walk,20,Every weekday (M-F),Always,Rarely,Often,Rarely,Rarely,4,Convenience,4,25,Often,Never,Never,Never,Always,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Male,25,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Drive,25,Every weekday (M-F),Rarely,Rarely,Rarely,Never,Never,0,,,,,,,,,1,Sometimes,Rarely,Often,Rarely,Rarely,Rarely,Never,Neither agree nor disagree,Somewhat disagree,Somewhat agree,0,0,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Never,Always,Faculty/Staff,Female,65,Own,Waze,Yes,2,0,2,Yes,20,US Citizen,Yes
Drive,45,1-2 days,Never,Rarely,Always,Always,Never,0,,,,,,,,,1,Rarely,Never,Often,Rarely,Never,Sometimes,Often,Somewhat agree,Somewhat agree,Somewhat disagree,0,0,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Always,Sometimes,Often,Faculty/Staff,Female,43,Own,Waze,Yes,3,0,2,Yes,16,US Citizen,Yes
Bus,25,3-4 days,Sometimes,Sometimes,Always,Sometimes,Rarely,1,Weather-related,1,30,Never,Never,Rarely,Never,Sometimes,4,Often,Rarely,Always,Often,Sometimes,Rarely,Often,Somewhat agree,Strongly agree,Strongly agree,0,0,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Rarely,Sometimes,Student,Female,22,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,10,Every weekday (M-F),Often,Sometimes,Always,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Sometimes,Student,Female,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,35,3-4 days,Sometimes,Sometimes,Sometimes,Sometimes,Never,0,,,,,,,,,1,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,1,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Faculty/Staff,Female,33,Rent,Google Maps,Yes,2,0,2,Yes,19,Other non-US citizen status,
Bus,20,3-4 days,Always,Sometimes,Often,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Female,22,Rent,Google Maps,No,,,,No,,US Citizen,Yes
Walk,15,3-4 days,Rarely,Rarely,Often,Never,Never,1,I don't drive,2,22,Rarely,Never,Often,Sometimes,Always,0,,,,,,,,,,,,,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Female,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,25,3-4 days,Always,Sometimes,Often,Sometimes,Never,1,Do not want to drive when intoxicated,0,0,Never,Never,Never,Never,Always,3,Sometimes,Never,Always,Often,Often,Often,Often,Strongly agree,Strongly agree,Strongly agree,0,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Often,Sometimes,Always,Student,Female,25,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,20,Every weekday (M-F),Rarely,Sometimes,Often,Never,Never,3,Safety,3,30,Never,Never,Never,Never,Always,0,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Always,Student,Female,30,Rent,Google Maps,Prefer not to say,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Sometimes,Rarely,Often,Rarely,Sometimes,1,Convenience,1,10,Sometimes,Never,Never,Rarely,Often,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,24,Rent,Google Maps,Yes,4,0,0,No,,Other non-US citizen status,
Walk,20,Every weekday (M-F),Rarely,Sometimes,Often,Rarely,Rarely,2,Weather-related,2,12,Sometimes,Never,Often,Rarely,Often,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,3-4 days,Always,Sometimes,Often,Sometimes,Never,0,,,,,,,,,2,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Sometimes,Neither agree nor disagree,Strongly agree,Somewhat agree,1,1,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Always,Always,Often,Student,Female,23,Rent,Google Maps,Yes,2,0,1,Yes,18,US Citizen,Yes
Light rail,30,3-4 days,Often,Sometimes,Always,Never,Never,2,Convenience,0,0,Sometimes,Never,Never,Rarely,Always,4,Sometimes,Never,Often,Sometimes,Sometimes,Sometimes,Often,Somewhat disagree,Somewhat disagree,Strongly agree,0,1,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,Student,Male,22,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,20,3-4 days,Sometimes,Sometimes,Always,Rarely,Rarely,3,Convenience,2,40,Sometimes,Sometimes,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,Student,Male,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,10,3-4 days,Sometimes,Sometimes,Rarely,Sometimes,Never,0,,,,,,,,,5,Sometimes,,Often,Sometimes,Sometimes,Often,Often,Neither agree nor disagree,Strongly agree,Strongly agree,0,1,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Sometimes,Sometimes,Often,Student,Male,23,Own,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Bus,15,Every weekday (M-F),Rarely,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Often,Often,Often,Student,Male,25,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,10,Every weekday (M-F),Often,Rarely,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Rarely,Rarely,Always,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,"Every day, including weekends",Often,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Rarely,Rarely,Always,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,10,3-4 days,Often,Rarely,Often,Never,Never,1,Convenience,2,42,Often,Never,Rarely,Never,Often,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Rarely,Never,Often,Student,Female,24,Rent,Google Maps,Yes,2,0,0,No,,Other non-US citizen status,
Walk,16,3-4 days,Often,Rarely,Rarely,Never,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Rarely,Never,Always,Student,Male,28,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Bike,20,Every weekday (M-F),Often,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,1,Sometimes,Never,Often,Rarely,Rarely,Sometimes,Never,Neither agree nor disagree,Strongly disagree,Strongly disagree,0,1,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Sometimes,Sometimes,Often,Student,Male,26,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bus,10,Every weekday (M-F),Always,Sometimes,Often,Rarely,Never,3,Convenience,5,40,Never,Never,Rarely,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Student,Female,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,20,3-4 days,Often,Rarely,Often,Rarely,Never,1,Safety,1,15,Rarely,Never,Rarely,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Always,Student,Male,23,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Bus,13,3-4 days,Sometimes,Sometimes,Sometimes,Rarely,Rarely,3,I don't drive,0,0,Never,Never,Rarely,Never,Rarely,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Rarely,Rarely,Rarely,Student,Female,23,Rent,Google Maps,No,,,,No,,Permanent Resident (Green Card Holder),
Bus,25,Every weekday (M-F),Often,Rarely,Sometimes,Rarely,Never,1,Convenience,1,8,Sometimes,Never,Rarely,Rarely,Often,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Rarely,Often,Student,Male,27,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Walk,20,3-4 days,Often,Sometimes,Always,Rarely,Sometimes,1,Convenience,1,2,Sometimes,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Female,25,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Bus,30,Every weekday (M-F),Rarely,Sometimes,Sometimes,Sometimes,Rarely,0,,,,,,,,,5,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Neither agree nor disagree,Strongly agree,Strongly agree,1,0,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Often,Often,Often,Student,Male,29,Own,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Bus,60,Every weekday (M-F),Sometimes,Sometimes,Often,Rarely,Rarely,1,I don't drive,0,0,Never,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Often,Often,Often,Student,Female,20,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Always,Sometimes,Often,Never,Rarely,1,Convenience,1,9,Never,Never,Rarely,Never,Always,1,Often,Never,Sometimes,Rarely,Never,Rarely,Rarely,Somewhat disagree,Strongly agree,Strongly agree,0,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Always,Student,Male,24,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Walk,10,1-2 days,Sometimes,Sometimes,Often,Often,Never,0,,,,,,,,,4,Often,Rarely,Often,Often,Rarely,Rarely,Often,Neither agree nor disagree,Somewhat agree,Strongly agree,1,0,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Sometimes,Sometimes,Student,Female,26,Rent,Apple Maps,No,,,,Yes,18,Permanent Resident (Green Card Holder),
Walk,10,Every weekday (M-F),Often,Sometimes,Sometimes,Rarely,Never,1,I don't drive,0,0,Sometimes,Never,Sometimes,Often,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Never,Never,Always,Student,Female,21,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Walk,10,Every weekday (M-F),Sometimes,Sometimes,Rarely,Never,Never,1,Convenience,1,15,Rarely,Never,Never,Never,Always,2,Never,Never,Rarely,Rarely,Never,Never,Never,Neither agree nor disagree,Somewhat agree,Strongly agree,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Sometimes,Sometimes,Often,Student,Male,22,Rent,Google Maps,No,,,,Yes,18,US Citizen,Have not decided
Bus,10,Every weekday (M-F),Often,Often,Often,Rarely,Never,1,I don't drive,2,25,Never,Never,Never,Never,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Often,Rarely,Always,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,3-4 days,Often,Often,Always,Often,Never,2,Do not want to drive when intoxicated,3,30,Often,Never,Never,Never,Often,3,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Neither agree nor disagree,Somewhat agree,Strongly agree,0,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Female,24,Rent,Google Maps,Prefer not to say,,,,Yes,23,Other non-US citizen status,
